event_family_final,report_number,candidate_seq,match_status,final_status,public_date_status,claimed_contact_date,earliest_provable_public_date,public_date_basis,observed_probability_under_null,claim_normalized
earthquake,436,4,miss,included_in_statistics,public_date_ok,2006-10-15,2020-05-11,manual_source_link:Future Of Mankind Contact Report 436 English translation page,0.976566576665,"This is indeed the case because we are doing a small study on seaquakes and earthquakes, and they are related to a major seaquake of magnitude 8.1 that will occur on the 15th of November near the Kuril Islands north of Japan."
epidemic,441,1,miss,included_in_statistics,public_date_ok,2007-02-03,2020-05-15,manual_source_link:Future Of Mankind Contact Report 441 English translation page,0.579264739015,"Firstly, the bird epidemic will be back in the news again, in England, where the disease has already broken out in a turkey farm."
