event_family_final,prediction_count,family_counts,match_status_counts,combined_observed_probability,top_priority_rank,top_report_number,top_candidate_seq
aviation_space,1,"{""aviation_space"": 1}","{""exact_hit"": 1}","{""count"": 1, ""ln_sum"": -6.074196, ""log10_sum"": -2.63799}",17,459,7
earthquake,49,"{""earthquake"": 49}","{""exact_hit"": 29, ""near_hit"": 14, ""similar_only"": 6}","{""count"": 49, ""ln_sum"": -221.889297, ""log10_sum"": -96.365297}",1,465,6
epidemic,5,"{""epidemic"": 5}","{""exact_hit"": 3, ""similar_only"": 2}","{""count"": 5, ""ln_sum"": -12.392523, ""log10_sum"": -5.382005}",19,453,14
politics_election,10,"{""politics_election"": 10}","{""exact_hit"": 10}","{""count"": 10, ""ln_sum"": -38.192796, ""log10_sum"": -16.586921}",6,459,5
