event_family_final,report_number,candidate_seq,match_status,final_status,public_date_status,claimed_contact_date,earliest_provable_public_date,public_date_basis,observed_probability_under_null,claim_normalized
earthquake,150,74,miss,included_in_statistics,public_date_ok,1981-10-10,2021-12-30,manual_source_link:Future Of Mankind Contact Report 150 English translation page,0.975507694719,"Approximately on the 15th of August 1982, southern Italy will again be struck by an earthquake, for this part of Italy will not rest for some time."
earthquake,242,1,miss,included_in_statistics,public_date_ok,1992-04-24,2018-08-12,manual_source_link:Future Of Mankind Contact Report 242 English translation page,0.969328687895,"With smaller quakes, however, things will be different, because already on the 8th of May another one of these will occur, which will have to be calculated at a magnitude of about 5.5, if, according to the Richter scale …."
earthquake,369,31,miss,included_in_statistics,public_date_ok,2004-11-12,2020-02-12,manual_source_link:Future Of Mankind Contact Report 369 English translation page,0.993255270861,"Unfortunately, the brute force of the two seaquakes will lead to further quakes, because every seaquake and landquake always causes further quakes worldwide as a chain reaction, especially when such large quakes occur as will be the case in the Indian Ocean on the 26th of December."
earthquake,436,4,miss,included_in_statistics,public_date_ok,2006-10-15,2020-05-11,manual_source_link:Future Of Mankind Contact Report 436 English translation page,0.976566576665,"This is indeed the case because we are doing a small study on seaquakes and earthquakes, and they are related to a major seaquake of magnitude 8.1 that will occur on the 15th of November near the Kuril Islands north of Japan."
epidemic,441,1,miss,included_in_statistics,public_date_ok,2007-02-03,2020-05-15,manual_source_link:Future Of Mankind Contact Report 441 English translation page,0.579264739015,"Firstly, the bird epidemic will be back in the news again, in England, where the disease has already broken out in a turkey farm."
