event_family_final,prediction_count,family_counts,match_status_counts,public_date_cohort_status_counts,combined_observed_probability,top_priority_rank,top_report_number,top_candidate_seq
politics_election,15,"{""politics_election"": 15}","{""exact_hit"": 15}","{""excluded_currently_unrescued"": 15}","{""count"": 15, ""ln_sum"": -61.469705, ""log10_sum"": -26.695954}",1,829,17
storm,6,"{""storm"": 6}","{""exact_hit"": 6}","{""excluded_currently_unrescued"": 6}","{""count"": 6, ""ln_sum"": -12.040141, ""log10_sum"": -5.228967}",3,448,8
